;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Thiamin;Riboflavin;Niacin;Folate;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;NE;DFE;;;;
Breads, Cereals and Other Grain Products;;;;;;;;;;;;;;;;;;;;;;;;;
Tourtiere, homemade (20cm diam);01-Jun;113;307;1283;15;23;1;1,02;17;6,04;47;28;1,09;352;273;22;157;1;59;1;0,30;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Folate;Vitamin C;Vitamin B12;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;RAE;DFE;mg;mcg;;;;
Soups;;;;;;;;;;;;;;;;;;;;;;;;;
Ready-to-serve;;;;;;;;;;;;;;;;;;;;;;;;;
Beef or chicken, broth/bouillon;250mL;254;18;74;3;tr;0;0;1;0,03;0;15;0,04;827;137;5;33;0;5;0;0,18;;;;
Beef, chunky;250mL;254;180;753;12;21;2;1,05;5;2,07;15;33;2,05;915;355;5;127;137;15;7;0,045833333;;;;
Chicken noodle, chunky;250mL;254;185;773;13;18;2;4,01;6;1,05;20;25;1,05;898;114;10;76;71;65;0;0,33;;;;
Chicken noodle, low fat, reduced salt;250mL;257;105;444;9;13;1;2,01;2;1,00;13;21;0;501;N/A;N/A;N/A;N/A;N/A;0;N/A;;;;
Chicken vegetable, chunky;250mL;254;175;733;13;20;N/A;0,09;5;1,05;18;28;1,05;1128;388;10;112;317;13;6;0,25;;;;
Clam chowder, Manhattan;250mL;254;142;593;8;20;4;3,00;4;2,02;15;71;2,08;1057;406;20;89;178;10;13;8,37;;;;
Minestrone, chunky;250mL;254;134;563;5;22;6;6,01;3;1,06;5;63;1,09;913;647;15;117;226;72;5;0;;;;
Split pea with ham, chunky;250mL;254;195;817;12;28;5;4,01;4;1,07;8;36;2,03;1019;322;41;188;259;5;7;0,25;;;;
Vegetable, chunky;250mL;254;129;540;4;20;4;1,03;4;0,06;0;58;1,07;1068;418;8;76;307;18;6;0;;;;
Condensed, prepared with water;;;;;;;;;;;;;;;;;;;;;;;;;
Beef noodle;250mL;258;88;366;5;9;2;0,08;3;1,02;5;15;1,02;1005;106;5;49;8;31;tr;0,21;;;;
Chicken broth;250mL;254;41;170;5;1;1;0;1;0,04;0;10;0,05;806;218;3;76;0;5;0;0,25;;;;
Chicken noodle;250mL;255;79;331;4;10;N/A;0,08;3;0,07;8;18;0,08;1169;59;5;38;38;37;tr;0,15;;;;
Cream of mushroom;250mL;258;137;572;2;10;2;0,05;9;2,06;3;49;0,05;931;106;5;52;15;5;1;0,05;;;;
Tomato;250mL;258;90;376;2;18;9;1,02;2;0,04;0;13;1,09;735;278;8;36;26;15;3;0;;;;
Tomato, reduced salt;250mL;258;90;376;2;19;8;0,05;2;0,04;0;13;1,09;52;278;8;36;44;18;70;0;;;;
Vegetables with beef;250mL;258;83;345;6;11;1;0,07;2;0,09;5;18;1,02;835;183;5;44;101;10;1;0,34;;;;
Vegetarian vegetable;250mL;255;76;318;2;13;4;0,05;2;0,03;0;23;1,01;868;222;8;36;122;10;2;0;;;;
Clam chowder, New England;250mL;262;157;658;10;18;N/A;1,06;5;1,09;16;202;1,06;1051;320;26;168;71;10;4;0,475694444;;;;
Cream of chicken;250mL;262;189;789;8;16;7;0,03;10;3,07;21;194;0,07;1108;293;21;162;86;N/A;1;0,58;;;;
Cream of mushroom;250mL;262;202;844;6;16;N/A;0,05;13;4,02;10;191;0,06;983;288;24;168;86;10;2;0,52;;;;
Cream of mushroom, reduced salt;250mL;262;134;558;6;17;9;0,08;5;2,04;14;168;0,07;562;691;21;189;74;21;tr;0,50;;;;
Cream of tomato;250mL;262;155;647;6;24;16;1,03;5;1,09;10;173;1,09;802;480;26;160;69;22;4;0,47;;;;
Dehydrated, prepared with water;;;;;;;;;;;;;;;;;;;;;;;;;
Chicken noodle;250mL;254;58;243;2;9;1;0,03;1;0,03;10;5;0,05;581;33;8;30;3;28;0;0,05;;;;
Minestrone;250mL;268;83;349;5;13;N/A;0,08;2;0,09;3;40;1,01;1084;360;8;64;16;51;1;0;;;;
Onion;250mL;260;29;120;1;5;2;0,08;1;0,01;0;13;0,02;897;68;5;31;0;3;tr;0;;;;
Ramen noodles, chicken flavour, cooked;250mL;258;162;678;3;20;N/A;6,02;8;3,05;0;N/A;1,02;792;N/A;N/A;N/A;72;N/A;0;N/A;;;;
Tomato vegetable;250mL;255;56;234;2;10;2;0,05;1;0,04;0;8;0,06;1154;104;20;31;10;10;6;0;;;;
Homemade;;;;;;;;;;;;;;;;;;;;;;;;;
Chicken noodle;250mL;255;135;564;19;7;2;0,09;3;0,07;64;26;1,01;336;302;30;168;136;28;3;0,22;;;;
Cream of vegetable;250mL;251;62;262;5;7;3;0,08;2;0,07;2;53;0,06;586;287;11;95;99;11;3;0,31;;;;
French onion;250mL;255;204;852;10;28;3;1,09;6;2,09;13;159;1,05;904;204;25;157;30;69;2;0,58;;;;
Lentil;250mL;262;193;805;12;27;3;5,01;5;0,04;0;41;3,03;654;365;41;171;45;69;6;0;;;;
Split pea with ham;250mL;267;190;797;13;31;5;3,08;2;0,06;7;39;1,09;312;437;50;176;56;70;2;0,04;;;;
Vegetable;250mL;252;49;204;3;8;2;1,04;1;0,02;0;34;0,07;692;336;16;58;93;20;11;0,14;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Fat;Saturated Fat;Monounsaturated Fat;Polyunsaturated Fat;Trans Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Vitamin D;Vitamin E;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;RAE;mcg;mg;;;;
Fats and Oils;;;;;;;;;;;;;;;;;;;;;;;;;
Butter and Margarine;;;;;;;;;;;;;;;;;;;;;;;;;
BecelTM, tub, calorie-reduced, canola and safflower oils (non-hydrogenated);5mL;5;17;70;tr;tr;2;0,03;0,08;0,06;tr;0;1;0;46;1;tr;1;48;0,06;0,02;;;;
BecelTM, tub, canola and safflower oils (non-hydrogenated);5mL;5;34;144;tr;tr;4;0,05;1,07;1,02;tr;0;1;0;52;2;tr;1;48;0,06;0,02;;;;
Butter;5mL;5;34;144;tr;tr;4;2,05;1,00;0,01;0,02;10;1;tr;28;1;tr;1;33;tr;0,01;;;;
ChefmasterTM, tub, unspecified vegetable oils (hydrogenated);5mL;5;34;144;tr;tr;4;0,05;1,06;0,09;0,05;0;1;0;52;2;tr;1;48;0,06;0,02;;;;
ImperialTM, stick, soy and canola oils (hydrogenated);5mL;5;34;141;tr;tr;4;0,05;2,05;0,04;1,05;0;tr;tr;31;1;tr;tr;48;0,06;0,03;;;;
ImperialTM, tub, soya oil (non-hydrogenated);5mL;5;34;144;tr;tr;4;0,09;0,07;1,08;tr;0;1;0;52;2;tr;1;48;0,06;0,02;;;;
LactantiaTM, tub, soya oil (hydrogenated);5mL;5;34;144;tr;tr;4;0,07;1,03;1,04;0,06;0;1;0;52;2;tr;1;48;0,06;0,02;;;;
Margarine, tub, composite;5mL;5;34;144;tr;tr;4;0,06;1,07;1,03;1;0;1;0;52;2;tr;1;48;0,06;0,02;;;;
Spread (20% butter / 80% margarine);5mL;5;34;141;tr;tr;4;1,00;2,02;0,04;1,00;2;1;tr;43;2;tr;1;47;N/A;0,04;;;;
Spread (50% butter / 50% margarine);5mL;5;33;137;tr;tr;4;1,05;1,08;0,02;0,07;5;1;tr;40;2;tr;1;16;0;0,02;;;;
Oils;;;;;;;;;;;;;;;;;;;;;;;;;
Canola;15mL;14;125;525;0;0;14;1,00;8,04;4,02;0,03;0;0;0;0;0;0;0;0;0;2,04;;;;
Corn;15mL;14;122;510;0;0;14;1,08;3,08;7,05;0,01;0;0;0;0;0;0;0;0;0;2,00;;;;
Flaxseed;15mL;14;122;511;0;0;14;1,04;2,05;9,09;tr;0;0;0;0;0;0;0;0;0;2,04;;;;
Grapeseed;15mL;14;122;510;0;0;14;1,03;2,02;9,06;N/A;0;0;0;0;0;0;0;0;0;4,00;;;;
Olive;15mL;14;121;506;0;0;14;1,08;10,01;1,04;tr;0;tr;0,01;tr;0;0;0;0;0;2,00;;;;
Peanut;15mL;14;121;506;0;0;14;2,03;6,03;4,04;N/A;0;0;tr;0;0;0;0;0;0;2,02;;;;
Sesame;15mL;14;122;510;0;0;14;2,00;5,05;5,07;N/A;0;0;0;0;0;0;0;0;0;0,02;;;;
Soybean;15mL;14;122;510;0;0;14;2,00;3,02;8,00;0,02;0;0;tr;0;0;0;0;0;0;1,03;;;;
Sunflower;15mL;14;122;510;0;0;14;1,04;2,07;9,01;0,01;0;0;0;0;0;0;0;0;0;5,07;;;;
Other;;;;;;;;;;;;;;;;;;;;;;;;;
Bacon grease;15mL;12;110;459;0;0;12;4,08;5,05;1,04;N/A;12;0;0;18;0;0;0;0;0;0,01;;;;
Lard;15mL;13;117;489;0;0;13;5,02;5,09;1,05;00.02;12;0;0;0;0;0;0;0;0;0,01;;;;
Shortening;15mL;13;115;481;0;0;13;3,02;5,04;3,07;N/A;0;tr;tr;1;0;0;0;0;0;0,01;;;;
Salad Dressings;;;;;;;;;;;;;;;;;;;;;;;;;
Blue cheese;15mL;16;78;327;1;1;8;1,05;1,09;4,03;N/A;3;13;tr;170;6;0;11;10;N/A;0,09;;;;
Blue cheese, low Calorie;15mL;16;15;64;1;tr;1;0,04;0,03;0,04;N/A;tr;14;0,01;186;1;1;13;N/A;N/A;tr;;;;
Creamy Caesar;15mL;15;79;329;tr;tr;9;1,03;2,00;4,09;N/A;tr;4;tr;161;4;tr;3;tr;tr;0,08;;;;
Creamy Caesar, low Calorie;15mL;15;17;70;tr;3;1;0,01;0,02;0,04;N/A;tr;4;tr;164;4;tr;3;tr;0;0,01;;;;
Creamy dressing, fat-free;15mL;16;21;90;tr;5;tr;tr;tr;tr;N/A;0;1;0,01;130;14;tr;0;tr;0;tr;;;;
French;15mL;16;72;303;tr;2;7;0,09;1,03;3,03;N/A;0;4;0,01;133;11;1;3;4;0;0,08;;;;
French, low fat;15mL;16;33;138;tr;4;2;0,03;0,05;1,02;N/A;0;2;0,01;165;13;0;2;2;0;0,05;;;;
Italian;15mL;15;43;181;tr;2;4;0,07;0,09;1,09;N/A;0;1;0,01;246;7;tr;1;2;0;0,07;;;;
Italian, low Calorie;15mL;15;11;48;tr;1;1;0,01;0,03;0,03;N/A;1;1;0,01;208;13;1;2;tr;0;tr;;;;
Mayonnaise;15mL;14;100;419;tr;1;11;1,07;2,07;6,00;tr;5;3;0,01;79;5;tr;4;11;tr;0,07;;;;
Mayonnaise, light;15mL;16;51;215;tr;1;5;0,08;1,03;2,08;tr;6;1;0,01;107;6;tr;6;3;N/A;0,05;;;;
Non creamy dressing, fat-free;15mL;15;7;29;tr;1;tr;tr;tr;tr;N/A;tr;4;0,01;165;15;1;16;tr;0;0,01;;;;
Oil and vinegar;15mL;16;73;305;0;tr;8;1,05;2,04;3,09;N/A;0;0;0;tr;1;0;0;0;0;0,08;;;;
Ranch;15mL;15;71;297;tr;1;8;1,02;1,07;4,02;0;5;5;0,01;120;9;1;24;1;tr;0,07;;;;
Ranch, low fat;15mL;16;36;149;tr;3;3;0,02;0,09;0,07;0;3;20;0,01;151;21;1;31;3;tr;0,03;;;;
Salad dressing, mayonnaise type;15mL;15;58;243;tr;4;5;0,07;1,03;2,07;00.04;4;2;tr;106;1;tr;4;3;tr;0,03;;;;
Salad dressing, mayonnaise type, fat-free;15mL;16;14;57;tr;3;tr;0,01;0,03;tr;N/A;1;1;tr;128;8;tr;1;0;N/A;tr;;;;
Salad dressing, mayonnaise type, light;15mL;15;44;184;0;2;4;0,02;2,02;1,01;N/A;0;tr;0;117;0;0;N/A;3;N/A;tr;;;;
Thousand Island;15mL;16;59;245;tr;2;6;0,08;1,02;2,09;N/A;4;3;0,02;137;17;1;4;2;N/A;0,06;;;;
Thousand Island, low Calorie;15mL;16;32;132;tr;3;2;0,01;1,00;0,04;N/A;tr;2;0,01;129;31;1;2;2;N/A;0,02;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Vitamin C;Vitamin B12;Caffeine;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;RAE;mg;mcg;mg;;;;
Sweets and Sugars;;;;;;;;;;;;;;;;;;;;;;;;;
Sugar, Honey and Substitutes;;;;;;;;;;;;;;;;;;;;;;;;;
Brown sugar;5mL;5;18;73;0;5;4;0;0;0;0;4;0,01;2;16;1;1;0;0;0;0;;;;
Honey;5mL;7;22;91;tr;6;6;tr;0;0;0;tr;tr;tr;4;tr;tr;0;tr;0;0;;;;
Icing sugar (powdered);5mL;3;10;41;0;2;2;0;tr;0;0;tr;tr;tr;0;0;0;0;0;0;0;;;;
Sugar substitute, aspartame (EqualTM);1 packet;1;4;15;tr;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
Sugar substitute, sucralose (SplendaTM);5mL;1;2;7;0;tr;tr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
White sugar (granulated);5mL;4;16;68;0;4;4;0;0;0;0;tr;0;0;0;0;0;0;0;0;0;;;;
Syrup and Molasses;;;;;;;;;;;;;;;;;;;;;;;;;
Chocolate syrup, thin type;15mL;20;110;461;1;26;20;1,00;tr;0,02;0;6;0,08;28;89;26;51;tr;tr;0;6;;;;
Corn syrup;15mL;21;59;249;0;16;6;0;0;0;0;4;0,01;32;9;2;2;0;0;0;0;;;;
Maple syrup;15mL;20;55;230;0;14;12;0;tr;tr;0;22;0,02;2;46;4;tr;0;0;0;0;;;;
Molasses;15mL;21;62;257;0;16;12;0;tr;tr;0;44;1,00;8;311;51;7;0;0;0;0;;;;
Pancake syrup;15mL;20;47;195;0;12;7;0,01;0;0;0;1;tr;16;3;tr;2;0;0;0;0;;;;
Preserves;;;;;;;;;;;;;;;;;;;;;;;;;
Double fruit jam type spread;15mL;19;42;177;tr;10;9;0,05;tr;0;0;2;0,01;6;N/A;N/A;N/A;N/A;tr;N/A;N/A;;;;
Double fruit jam type spread, reduced sugar;15mL;17;23;95;tr;5;5;0,04;tr;0;0;3;0,01;3;N/A;N/A;N/A;N/A;tr;N/A;N/A;;;;
Jams and preserves;15mL;20;56;234;tr;14;10;0,02;tr;tr;0;4;0,01;6;16;1;4;tr;2;0;0;;;;
Jelly;15mL;21;56;235;tr;15;11;0,02;tr;tr;0;1;tr;6;11;1;1;0;tr;0;0;;;;
Marmalade;15mL;20;50;207;tr;13;12;0,01;0;0;0;8;tr;11;7;tr;1;1;1;0;0;;;;
Toppings and Spreads;;;;;;;;;;;;;;;;;;;;;;;;;
Chocolate topping, fudge-type;30mL;39;135;564;2;24;13;1,01;3;1,05;1;39;0,06;133;174;25;65;2;tr;0,11;3;;;;
Pie filling, cherry, canned;30mL;25;29;121;tr;7;N/A;0,02;tr;tr;0;3;0,01;5;26;2;4;3;1;0;0;;;;
Spread, chocolate hazelnut (NutellaTM);30mL;38;203;848;2;23;21;2,00;11;2,00;0;41;1,06;15;153;24;57;tr;0;0,11;3;;;;
Topping or spread, butterscotch;30mL;42;105;438;1;27;N/A;0,04;tr;tr;tr;22;0,01;145;35;3;20;11;tr;0,04;0;;;;
Topping, strawberry;30mL;43;110;458;tr;29;12;0,03;tr;tr;0;3;0,01;9;22;2;2;tr;6;0;0;;;;
Candies;;;;;;;;;;;;;;;;;;;;;;;;;
Butterscotch;1 piece;5;21;87;tr;5;4;0;tr;0,01;tr;tr;tr;21;0;tr;tr;1;0;0;0;;;;
Candy, chocolate covered, sweetened with sorbitol;1 piece;5;29;120;1;2;1;0,02;2;1,01;1;15;0,01;5;30;5;17;3;tr;00.04;t;;;;
Caramel;4;40;154;646;2;31;26;0,05;3;2,07;3;56;0,01;99;86;7;46;tr;tr;0;0;;;;
Chewing gum;1 stick;3;7;31;0;2;2;0,01;tr;tr;0;0;0;tr;0;0;0;0;0;0;0;;;;
Chewing gum, sugarless;1 stick;2;5;22;0;2;0;tr;tr;tr;0;tr;0;tr;0;0;0;0;0;0;0;;;;
Fruit leather;1 roll;14;52;217;tr;12;7;0,05;tr;0,01;0;4;0,01;44;41;3;4;1;17;0;0;;;;
Fudge, chocolate, homemade;1 piece;17;70;292;tr;13;13;0,03;2;1,00;2;8;0,03;8;22;6;12;7;0;0,02;1;;;;
Fudge, vanilla, homemade;1 piece;22;84;353;tr;18;18;0;1;0,06;3;7;tr;11;10;1;6;10;0;0,02;0;;;;
Gumdrops;10 pieces;36;143;596;0;36;21;tr;0;0;0;1;0,01;16;2;tr;tr;0;0;0;0;;;;
Hard candy;1;6;24;99;0;6;4;0;tr;0;0;tr;tr;2;0;tr;tr;0;0;0;0;;;;
Hard candy, reduced sugar;1;3;11;47;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
Jellybeans;10 beans;28;105;439;0;26;20;0,01;tr;0;0;1;tr;14;10;1;1;0;0;0;0;;;;
Licorice, strawberry (TwizzlersTM);3 strips;38;132;553;1;30;15;0;1;0;0;0;0,02;108;N/A;N/A;N/A;0;0;0;0;;;;
Marshmallows;1;7;23;96;tr;6;4;tr;tr;tr;0;tr;tr;6;0;tr;1;0;0;0;0;;;;
Sesame crunch (sesame snap);4 pieces;35;181;757;4;18;11;2,08;12;1,06;0;229;1,05;58;113;88;148;0;tr;0;0;;;;
SkittlesTM;10 candies;11;43;181;tr;10;8;0;tr;0,01;0;0;tr;2;1;tr;tr;0;7;0;0;;;;
Toffee;1 piece;12;67;281;tr;8;8;0;4;2,05;12;4;tr;16;6;tr;4;38;tr;0,01;0;;;;
Chocolate Bars;;;;;;;;;;;;;;;;;;;;;;;;;
Almonds, chocolate covered;10;32;180;752;4;15;12;1,04;12;4,08;4;64;0,08;16;N/A;N/A;N/A;0;0;N/A;N/A;;;;
Caramel coated cookies, chocolate covered (TwixTM);1 package;58;289;1210;3;38;28;0,06;14;5,02;3;52;0,05;112;110;19;63;13;tr;0,17;2;;;;
Caramel with nuts, chocolate covered (TurtlesTM);2;28;132;550;3;17;12;1,02;6;1,03;0;22;0,05;7;125;23;46;12;tr;0;5;;;;
Caramel, chocolate covered (RoloTM, CaramilkTM);1 bar;52;246;1031;3;35;33;0,05;11;7,05;6;75;0,02;98;98;0;37;18;tr;0,14;2;;;;
Chocolate covered wafer (Kit KatTM, Coffee CrispTM);1 bar;42;218;910;3;27;20;0,04;11;7,05;5;53;0,04;23;97;16;57;10;0;0,24;6;;;;
Chocolate malt-nougat and caramel, chocolate covered (MarsTM);1 bar;58;245;1026;3;42;35;1,00;9;4,05;8;75;0,04;139;140;20;84;10;1;0,19;5;;;;
Chocolate, candy coated (M&M'STM , SmartiesTM);1 package;40;201;841;2;27;25;1,01;9;5,08;6;46;0,05;27;117;18;66;16;tr;0,12;N/A;;;;
Chocolate, semisweet, bars or chips;60mL;43;204;853;2;27;23;2,05;13;7,06;0;14;1,03;5;156;49;56;0;0;0;26;;;;
Coconut candy, chocolate covered (BountyTM Almond JoyTM);1 bar;49;235;981;2;29;24;2,05;13;8,06;2;31;0,06;70;124;N/A;55;N/A;tr;N/A;N/A;;;;
Fondant, chocolate covered (After EightTM);2 pieces;16;59;246;tr;13;11;0,03;2;1,03;0;4;0,03;2;N/A;N/A;N/A;tr;0;N/A;N/A;;;;
Fudge, caramel and nuts, chocolate covered (Oh Henry! TM);1 bar;63;289;1208;5;41;31;1,03;14;4,02;6;51;0,04;144;203;32;88;6;tr;0,13;3;;;;
Milk chocolate and crisped rice (Nestle CrunchTM);1 bar;40;209;873;2;26;22;1,00;11;6,01;5;68;0,02;53;138;23;81;8;tr;0,15;10;;;;
Milk chocolate, bars or chips;1 bar;50;268;1119;4;30;26;1,07;15;7,01;12;95;1,02;40;186;32;104;25;0;0,31;10;;;;
Peanut butter cups (Reese'sTM);3 cups;51;263;1099;5;28;24;1,08;16;5,05;3;40;0,06;160;175;32;82;9;tr;0,29;9;;;;
Peanuts, chocolate covered;10;40;208;868;5;20;15;1,09;13;5,08;4;42;0,05;16;201;38;85;14;0;0,18;9;;;;
Raisins, chocolate covered (GlosetteTM);10 pieces;10;39;163;tr;7;6;0,04;1;0,09;tr;9;0,02;4;51;5;14;2;tr;0,02;3;;;;
Toffee, chocolate covered (SkorTM);1 bar;39;209;872;1;24;23;0,05;13;7,03;21;51;0,02;124;60;4;24;60;tr;N/A;N/A;;;;
Frozen Desserts;;;;;;;;;;;;;;;;;;;;;;;;;
Chocolate ice milk bar (FudgesicleTM);1;51;65;271;3;14;10;0,09;tr;0,02;2;81;0,05;48;N/A;N/A;N/A;N/A;1;N/A;N/A;;;;
Frozen yogourt, chocolate;125mL;91;116;484;3;20;20;1,02;3;2,01;12;91;0,04;57;213;23;81;36;6;0,06;3;;;;
Frozen yogourt, vanilla;125mL;76;124;519;3;18;18;0;4;2,06;2;109;0,02;66;161;11;98;45;1;0,22;0;;;;
Fruit and juice bar;1;77;63;264;1;16;13;0,08;tr;0;0;4;0,01;3;41;3;5;1;7;0;0;;;;
Ice cream cone, vanilla, chocolate covered, with nuts;1;78;222;928;5;23;16;1,09;14;5,04;25;105;0,08;54;208;42;117;68;tr;0,23;4;;;;
Ice cream cone, vanilla, soft serve;1;150;266;1110;7;43;32;0,06;7;4,03;39;232;0,05;116;305;22;154;90;2;0,046527778;0;;;;
Ice cream sandwich;1;59;143;598;3;22;14;0,09;6;3,02;20;60;0,06;36;122;13;63;53;tr;0,18;1;;;;
Ice cream, chocolate;125mL;70;151;630;3;20;18;0,08;8;4,07;24;76;0,06;53;174;20;75;82;tr;0,20;2;;;;
Ice cream, dairy free;125mL;87;237;990;4;21;N/A;0,08;16;2,00;0;36;1,02;216;64;19;59;tr;tr;0;0;;;;
Ice cream, strawberry;125mL;70;134;560;2;19;N/A;0,06;6;3,06;20;84;0,01;42;131;10;70;67;5;0,21;0;;;;
Ice cream, vanilla, low fat;125mL;93;117;490;5;20;10;0;2;1,05;11;146;0,01;65;205;13;113;27;1;0,46;0;;;;
Ice cream, vanilla, low fat, aspartame sweetened;125mL;69;106;445;3;15;4;0,05;5;2,08;19;93;0,01;66;135;6;52;1;1;0,36;0;;;;
Ice cream, vanilla, premium;125mL;1 13;282;1177;4;25;23;0;18;11,07;104;132;0,04;69;178;12;119;206;0;0,44;0;;;;
Ice cream, vanilla, regular;125mL;76;153;640;3;18;16;0,05;8;5,02;33;97;0,01;61;151;11;80;90;tr;0,30;0;;;;
Popsicles;1;75;54;226;0;14;10;0;0;0;0;0;0;9;3;1;0;0;0;0;0;;;;
Sherbet, orange;125mL;78;113;471;1;24;19;2,06;2;0,09;0;42;0,01;36;75;6;31;8;5;0,09;0;;;;
Soft serve ice cream with OreoTM cookies (BlizzardTM, McFlurryTM);1 small;275;575;2404;13;89;68;1,09;20;10,05;63;386;4,07;368;564;52;279;148;3;1,12;5;;;;
Other Desserts;;;;;;;;;;;;;;;;;;;;;;;;;
Chocolate mousse, homemade;125mL;90;203;847;4;14;13;0,05;14;8,02;126;86;0,05;34;129;18;105;126;tr;00.42;6;;;;
Gelatin dessert, calorie-reduced, prepared (JelloTM);125mL;124;25;104;1;5;0;0;0;0;0;4;tr;59;1;1;84;0;0;0;0;;;;
Gelatin dessert, prepared (JelloTM);125mL;143;88;369;2;20;19;0;0;0;0;4;tr;107;1;1;31;0;0;0;0;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Folate;Vitamin C;Vitamin B12;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;RAE;mg;mg;mcg;;;;
Snacks;;;;;;;;;;;;;;;;;;;;;;;;;
Popcorn;;;;;;;;;;;;;;;;;;;;;;;;;
Air-popped;250mL;8;32;135;1;7;tr;1,03;tr;tr;0;1;0,02;tr;25;11;25;1;2;0;0;;;;
Caramel-coated;250mL;37;160;670;1;29;20;1,09;5;1,03;2;16;0,06;77;41;13;31;1;2;0;tr;;;;
Microwave, low fat and reduced salt;250mL;8;34;144;1;6;tr;1,01;1;0,01;0;1;0,02;39;19;12;21;tr;1;0;0;;;;
Oil-popped, regular and microwaved;250mL;12;58;243;1;7;tr;1,02;3;0,06;0;1;0,03;103;26;13;29;1;2;tr;0;;;;
Chips;;;;;;;;;;;;;;;;;;;;;;;;;
Corn-based puffs or twists, cheese (CheesiesTM);250mL;37;205;857;3;20;1;0,04;13;2,04;1;21;0,09;388;61;7;40;2;67;tr;00.05;;;;
Potato chips made from dried potatoes, plain (PringlesTM);17 chips;28;156;654;2;14;1;1,00;11;2,06;0;7;0,04;184;282;16;44;0;2;2;0;;;;
Potato chips, baked, plain;1 small bag;43;202;843;2;31;2;2,01;8;1,01;0;54;0,03;394;310;18;118;0;0;0;0;;;;
Potato chips, flavoured;1 small bag;43;211;883;3;23;N/A;1,09;14;3,05;0;22;0,08;323;542;32;80;5;36;15;0;;;;
Potato chips, plain;1 small bag;43;230;964;3;21;tr;1,06;15;1,08;0;9;0,07;229;571;30;65;0;20;25;0;;;;
Tortilla chips, nacho flavoured (DoritosTM);1 small bag;50;249;1042;4;31;2;2,07;13;2,05;2;74;0,07;354;108;41;122;12;7;1;0;;;;
Tortilla chips, plain;26 small;47;234;980;3;29;tr;3,00;12;2,03;0;72;0,07;247;92;41;96;2;5;0;0;;;;
Other Snacks;;;;;;;;;;;;;;;;;;;;;;;;;
Banana chips;10 chips;14;73;304;7;8;5;1,01;5;4,01;0;3;0,02;1;75;11;8;1;2;1;0;;;;
Beef jerky (22cm long);1 stick;20;81;340;7;2;2;0,04;5;2,01;10;4;1,01;438;118;10;81;0;27;0;0,20;;;;
Beer nuts;10 nuts;34;186;779;8;10;5;2,02;14;2,00;0;26;0,06;2;203;54;152;0;37;tr;0;;;;
Bits and bites snack bites (Bits & BitesTM);125mL;31;132;554;4;21;3;1,09;4;1,00;1;18;2,06;263;92;24;71;2;37;tr;0,03;;;;
Fruit leather bar (Fruit to GOTM);1 bar;14;49;206;tr;11;N/A;0,05;1;0,06;0;4;0,01;11;19;3;8;1;1;1;0;;;;
Pretzels, hard, plain, salted;10 sticks;5;19;80;tr;4;tr;0,02;tr;tr;0;2;0,02;86;7;2;6;0;12;0;0;;;;
Pretzels, hard, plain, unsalted;10 sticks;5;19;80;tr;4;tr;0,02;tr;tr;0;2;0,02;15;7;2;6;0;12;0;0;;;;
Rice cakes, plain;1;9;35;146;1;7;tr;0,04;tr;0,01;0;1;0,01;29;26;12;32;0;2;0;0;;;;
Sesame sticks, salted;60mL;14;75;316;2;6;tr;0,04;5;0,09;0;24;0,01;208;25;6;19;0;3;0;0;;;;
Soybeans, roasted, salted;60mL;44;205;859;15;15;2;7,07;11;1,06;0;60;1,07;71;641;63;158;4;92;1;0;;;;
Trail mix, regular;60mL;38;176;735;5;17;N/A;2,05;11;2,01;0;30;1,02;87;261;60;131;tr;27;1;0;;;;
Trail mix, tropical;60mL;36;144;604;2;23;N/A;2,04;6;3,00;0;20;0,09;4;252;34;66;1;15;3;0;;;;
